no;brand;name;old_price;new_price;ml;concentration;department;scents;base_note;middle_note;item_rating;seller;seller_rating;num_seller_ratings;cluster
180;burberry;brit splash;278;194.0;100.0;edt;men;fresh;moss musk vetiver;cyclamen violet water notes;4.06;chansles;3.09;33.0;0
181;prada;amber intense;324;321.95;100.0;edp;men;spicy;creamy amber;vanilla;4.04;ryhana perfume;4.02;25.0;0
182;milton lloyd;hawaii london;51;23.0;55.0;edt;women;floral;woody notes musk;jasmine rose;4.0;hawas;4.02;9.0;0
183;lattafa;khalis pure oudi;68;37.0;100.0;edp;unisex;woody;amber cedar guaiac wood musk vanilla;jasmine sandalwood;4.03;noon;4.02;98.1;0
185;dorall collection;oud arabi;11.35;11.35;100.0;pdt;unisex;woody;patchouli sandalwood musk amber;oudh rose guaiac wood jasmine;3.09;princess beauty;3.08;467.0;1
186;coach;coach;36;8.07;2.0;edp;women;floral;cashmeran suede musk;turkish rose gardenia;4.08;top langri;3.07;347.0;1
187;mancera;coco vanille;446;285.0;120.0;edp;women;vanilla;white musk woody notes madagascar vanilla;jasmine ylangylang tiare flower;5.0;amlaq;3.09;135.0;0
188;burberry;weekend;197;160.0;100.0;edp;women;oriental;violet root iris nectarine peach blossom rose hip red cyclamen blue hyacinth;violet root iris nectarine peach blossom rose hip red cyclamen blue hyacinth;4.06;amlaq;3.09;135.0;0
191;amouage;gold;1376;904.85;100.0;edp;women;woody;ambergris civet musk cedar wood sandalwood;myrrh orris jasmine;4.04;parvant store;3.08;76.0;0
192;givenchy;gentlemen;627;260.0;100.0;edt;men;woody;skin accord tonka bean;cedar wood patchouli heart leather;4.0;faces;3.09;61.0;0
193;jaguar;classic amber;87;85.0;100.0;edt;men;arabian;cedar wood patchouli vanilla leather vetiver labdanum musk;cinnamonblack pepperappleorange blossoms elemi resin;4.03;abu al tayyeb perfumes;3.09;33.0;0
194;aigner;debut;220;143.75;100.0;edp;women;citrus;patchouli cedar vanilla white musk oak moss;luminous orange blossom water lily jasmine sunflower seed;4.05;noon;4.02;98.1;0
195;jcasanova;pandora;142;88.95;100.0;edp;women;floral;cedar moss musk amber sandalwood;lilyofthevalley rose jasmine narcissus orchid;5.0;noon;4.02;98.1;0
196;roberto cavalli;serpentine;286;162.85;100.0;edp;women;arabian;tolu balsam sandalwood amber;violet leaf tiare flower pepper frangipani;4.04;noon;4.02;98.1;0
197;bvlgari;man black;483;200.95;100.0;edp;men;woody;benzoin guaiac wood tonka beans;iris leather tuberose;4.07;starperfume;3.09;537.0;1
198;montblanc;lady emblem;08.05;8.05;2.0;edt;men;floral;vanilla amber musk patchouli;jasmine geranium neroli ylangylang;5.0;queen beauty;3.08;467.0;1
199;al fakhr;ameer al oud khususi;28;12.0;100.0;edp;unisex;woody sweet;sandalwood cedarwood;black pepper cardamom;4.01;kikup;3.06;425.0;1
200;lacoste;touch pink;249;90.0;90.0;edt;women;floral;sandalwood musk vanilla;carrot seeds coriander jasmine violet leaf cardamom;5.0;cute shop;3.07;347.0;1
202;burberry;burberry bl;699;255.85;90.0;edt;women;floral;amber patchouli;candied rose peach nectar;5.0;amlaq;3.09;135.0;0
204;ted lapidus;creation;101;50.0;100.0;edt;women;floral;jasmine rose tuberose carnation;jasmine rose tuberose carnation;4.07;alkhalijiah perfume;3.05;88.0;0
206;benetton;hot;124;29.85;100.0;edt;women;fruity;sandalwood amber musk vanilla oak moss cedar;apricot iris water jasmine lily valley;5.0;beauty gallery;3.07;59.0;0
208;lacoste;lacoste;310;98.95;50.0;edp;women;floral;himalayan cedar warm woman skin accord sandal incense;heliotrope jasmine alliance hibiscus blossom bulgarian rose;4.06;noon;4.02;98.1;0
209;lacoste;lacoste;368;115.0;100.0;edt;men;citrus;cedar woody notes amber vanilla musk;black pepper ginger jasmine almond;4.06;noon;4.02;98.1;0
210;sedr alkhaleej perfumes;love touch;111;49.85;100.0;edp;women;fresh;woody leather musk;tiare flower rose;5.0;noon;4.02;98.1;0
213;lanvin;rumeur;154;71.0;100.0;edp;women;floral;amber patchouli musk;orange blossom plum rose jasmine lily valley;5.0;top langri;3.07;347.0;1
214;gucci;oud;690;380.0;75.0;edp;women;spicy;natural oud oil patchouli;bulgarian rose orange flower;4.02;amlaq;3.09;135.0;0
215;chloe;love story;383;237.0;50.0;edp;men;floral;sandalwood amber musk vetiver brazilian rosewood;coriander lily orange blossom juniper berries basil jasmine sage lilyofthevalley geranium;4.0;hadayiq baris;3.08;122.0;0
216;ted lapidus;rumba;111;58.0;100.0;edt;women;floral;ambergris vanilla leather tonka bean patchouli musk sandalwood cedar plum styrax oakmoss;honey jasmine tuberose carnation heliotrope magnolia gardenia lily valley orchid marigold rose;3.03;hadayiq baris;3.08;122.0;0
217;amouage;honour;1607;710.95;100.0;edp;women;spicy;patchouli cedar vetiver frankincense musk tonka bean;geranium elemi nutmeg;5.0;richlight;3.08;66.0;0
218;jimmy choo;jimmy;441;188.95;100.0;edp;women;floral;coffee patchouli;orchid;5.0;faces;3.09;61.0;0
219;rasasi;blue;53;35.0;100.0;edt;men;spicy;amber woody;coriander geranium jasmine rose pepper;4.03;hawas;4.02;9.0;0
220;dunhill;desire silver;192;118.95;100.0;edt;men;floral;birch vetiver amber;water notes violet leaf cardamom;5.0;noon;4.02;98.1;0
221;calvin klein;euphoria amber gold;327;166.0;100.0;edp;unisex;arabian;lemon mint wood moss;sandalwood cedar;5.0;noon;4.02;98.1;0
222;britney spears;fantasy;189;89.95;100.0;edp;women;floral;creamy musk orris root sensual woods;cupcakes white chocolate orchid jasmine petals;5.0;noon;4.02;98.1;0
223;gucci;guilty absolute;515;299.85;90.0;edp;men;woody;woody notes vetiver;patchouli cypress;4.03;noon;4.02;98.1;0
224;joop;homme;170;57.0;125.0;edt;men;citrus;patchouli sandalwood tonka beans vanilla;cardamom cinnamon heliotrope jasmine lily valley;4.02;cute shop;4.02;98.0;0
225;calvin klein;obsession;231;120.0;125.0;edt;men;spicy;amber sandalwood patchouli vanilla musk;brazilian rosewood sage myrrh pine tree nutmeg;3.0;noon;4.02;98.1;0
228;lancome;idol;739;299.0;50.0;edp;women;floral;white musk vanilla;turkish rose rose de mai indian jasmine;5.0;hadayiq baris;3.08;122.0;0
230;cartier;declaration;390;240.0;100.0;edp;men;fruity;cedar leather amberwood benzointolu balsam vetiver;cardamom spices cumin;5.0;parfum;3.06;111.0;0
231;marbert;man;51.95;51.95;125.0;edt;men;woody;musk sandalwood patchouli oak moss virginia cedar amber leather;geraniumjasminelily valleymajorjamcoriandernutmeg;5.0;neo lek;3.05;88.0;0
232;calvin klein;one shock;176;106.0;200.0;edt;men;spicy;musk patchouli amber tobacco;black pepper lively black basil resinous cardamom;5.0;dior fragrances;3.09;69.0;0
233;burberry;brit rhythm intense;370;136.65;90.0;edt;men;spicy;cashmere woodcoumaringuaiac woodleathersandalwoodtonka beansvanilla;amberbasillavendermintpatchouli;4.06;noon;4.02;98.1;0
235;lancome;miracle;514;242.0;100.0;edp;women;arabian;amber musk jasmine;magnolia ginger mandarin orange pepper jasmine;5.0;parfumestor;4.02;98.0;0
236;chopard;rose malaki;520;189.95;80.0;edp;women;spicy;cedarwood patchouli vanilla;rose absolu rose petal accord smoky leather;4.03;noon;4.02;98.1;0
237;lacoste;blanc pour homme;356;95.0;100.0;edt;men;woody;leather suede cedar;mexican tuberose ylangylang;5.0;cute shop;3.09;537.0;1
238;jaguar;classic red;64.95;64.95;100.0;edt;men;fruity;patchouli cedar amber tonka vanilla;jasmine pepper ozonic notes;4.04;starperfume;3.09;537.0;1
239;lancome;la vie est belle;465;233.95;50.0;edp;women;floral;patchouli tonka bean vanilla praline;iris jasmine orange blossom;5.0;grass gulf;3.09;537.0;1
240;givenchy;dahlia divin nude;549;300.0;75.0;edp;women;fresh;rose vanilla ginger;pine cardamom lavender rosemary;4.05;beautify;3.06;531.0;1
241;dolce gabbana;one;299;190.0;100.0;edt;men;spicy;ambery cedar wood;cardamom ginger;4.07;hadayiq baris;3.08;122.0;0
243;united colors benetton;united colors benetton hot;111;28.0;100.0;edt;men;woody;sandalwood amber musk vanilla oakmoss cedar;apricot iris water jasmine lilyofthevalley;4.0;dior fragrances;3.07;59.0;0
245;carolina herrera;ch men sports;285;115.0;50.0;edt;men;woody;sandalwood oak moss vetiver;sea notes mixed spices aromatic accords sichuan pepper juniper berries;4.03;pink box;4.02;7.0;0
