no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
518,HUGO BOSS,Femme,316,139.95,75,edp,Women,floral,apricot and lemon wood,jasmine and fleur de lys bulgarian rose,4.08,Grass gulf,3.09,69,floral apricot and lemon wood jasmine and fleur de lys bulgarian rose,0
519,Calvin Klein,Secret Obsession,202,163.95,100,edp,Women,woody,burnt amber cashere woods vanilla and sandalwood,jasmine orange flower and tuberose,5.0,Chansles,3.09,33,woody burnt amber cashere woods vanilla and sandalwood jasmine orange flower and tuberose,0
526,BURBERRY,London,241,140.0,50,edp,Women,floral,sandalwood musk and patchouli,tiare flower jasmine and peony and a hint of fresh clementine zest,4.06,Star.perfume,3.09,537,floral sandalwood musk and patchouli tiare flower jasmine and peony and a hint of fresh clementine zest,0
532,NARCISO RODRIGUEZ,Narciso Rodriguez,436,207.0,50,edp,Women,floral,patchoulisandalwood,ambermusk,5.0,Ahmed Mohamed Abbas Abbas Trading Est,4.02,98,floral patchoulisandalwood ambermusk,0
533,Dolce & Gabbana,3 L'Imperatrice,640,157.65,100,edt,Women,floral,musk sandalwood lemon tree,watermelon cyclamen jasmine,4.0,noon,4.02,98.1K,floral musk sandalwood lemon tree watermelon cyclamen jasmine,0
539,MINI COLLECTION,2.2 s..y  No.1139 Eau De Par,16.09,16.09,25,edp,Women,jasmine,balsamic,bakhoor,5.0,warddah,3.07,56,jasmine balsamic bakhoor,0
542,LACOSTE,Eau De Lacoste,420,139.0,90,edp,Women,floral,sandalwood vetiver vanilla and peru balsam,pineapple flower sambac jasmine rose and orange flower,4.06,Beautiful Live,3.08,7,floral sandalwood vetiver vanilla and peru balsam pineapple flower sambac jasmine rose and orange flower,0
545,JAGUAR,Classic,120,63.75,100,edt,Men,arabian,sandalwood benzoin and white musk,ginger orange blossom and lotus,4.04,noon,4.02,98.1K,arabian sandalwood benzoin and white musk ginger orange blossom and lotus,0
550,Genie,1029 Collection,36,14.04,25,edp,Women,fruity,vegetal amber musk and mahogany,magnolia lotus and peony,4.0,moon perfume,3.07,199,fruity vegetal amber musk and mahogany magnolia lotus and peony,0
555,Ajmal,Sacrifice,153,70.0,50,edp,Women,floral,woody oriental musky,floral musky,4.06,Rayhanti,3.05,27,floral woody oriental musky floral musky,0
559,DORALL COLLECTION,DC,29,9.03,100,edt,Men,floral,vetiver patchouli oakmoss musk sandalwood,galbanum rosemary jasmine coumarin,4.0,B.A.G,3.07,14.1K,floral vetiver patchouli oakmoss musk sandalwood galbanum rosemary jasmine coumarin,0
566,JAGUAR,Classic Blue,290,67.0,100,edt,Men,spicy,sandalwood benzoin white musk,ginger orange blossom lotus,4.07,Beauty Gallery,4.02,59,spicy sandalwood benzoin white musk ginger orange blossom lotus,0
580,BVLGARI,Petits Et Mamans,254,193.95,100,edt,Women,floral,iris vanilla white peach powdery notes,sunflower chamomile rose,4.08,noon,4.02,98.1K,floral iris vanilla white peach powdery notes sunflower chamomile rose,0
584,AVON,Always,84,84.0,50,edp,Women,floral,cashmere woods,orange blossoms,5.0,neo lek,3.05,88,floral cashmere woods orange blossoms,0
586,GUESS,By Marciano,128,109.95,100,edp,Women,floral,musk vanilla and woody notes,peony jasmine and honeysuckle,5.0,Parvant Store,3.08,76,floral musk vanilla and woody notes peony jasmine and honeysuckle,0
591,Givenchy,Organza,550,251.65,100,edp,Women,arabian,guaiac wood woodsy notes virginia cedar amber vanilla,peony walnut iris jasmine tuberose honeysuckle,4.08,noon100% Genuine Product,4.02,98.1K,arabian guaiac wood woodsy notes virginia cedar amber vanilla peony walnut iris jasmine tuberose honeysuckle,0
594,MONTBLANC,Mont Blanc Legend,220,140.0,100,edt,Men,floral,vanilla amber,jasmine geranium neroli and ylangylan,4.08,Al-Najm,3.07,347,floral vanilla amber jasmine geranium neroli and ylangylan,0
607,CAROLINA HERRERA,212 Sexy,420,151.0,100,edp,Women,floral,cotton candymusksandalwoodvanilla,gardeniageranium,4.07,Al-Najm,3.07,347,floral cotton candymusksandalwoodvanilla gardeniageranium,0
611,Sedr Al-Khaleej Perfumes,Love Touch Body Sp,12.09,12.09,125,edt,Women,floral,leathermusk,tiare flowerrose,5.0,noon,4.02,98.1K,floral leathermusk tiare flowerrose,0
613,Genie,London Burberry,18,16.0,25,edp,Women,floral,wood and musk,jasmine tiare flower and soft peony,4.09,Parisian Store,3.09,425,floral wood and musk jasmine tiare flower and soft peony,0
618,Juicy Couture,Viva La Juicy,355,144.0,100,edp,Women,floral,amber caramel praline sandalwood and vanilla,honeysuckle gardenia and jasmine,4.07,aRt Ti Ci,3.09,41,floral amber caramel praline sandalwood and vanilla honeysuckle gardenia and jasmine,0
622,MONTBLANC,Lady Emblem,410,155.0,75,edp,Women,floral,musk and raspberry,sandalwood patchouli and rosewood,5.0,noon,4.02,98.1K,floral musk and raspberry sandalwood patchouli and rosewood,0
625,Dolce & Gabbana,Pour Femme,356,165.0,100,edp,Women,floral,marshmallow sandalwood vanilla,jasmine and orange blossom,5.0,hadayiq baris,3.08,122,floral marshmallow sandalwood vanilla jasmine and orange blossom,0
630,Calvin Klein,Beauty,145,110.0,100,edp,Women,floral,virginia cedar,jasmine,5.0,Star.perfume,4.02,537,floral virginia cedar jasmine,0
634,Ajmal,Wisal,79,60.0,50,edp,Unisex,floral,floral musky,spicy floral,5.0,alkhalijiah  perfume,3.05,88,floral floral musky spicy floral,0
635,CAROLINA HERRERA,212 Wild Party,232.95,232.95,80,edp,Women,floral,musk woody accord,orange blossom sun rose orchid,4.05,Number One,3.08,66,floral musk woody accord orange blossom sun rose orchid,0
636,Estee Lauder,Modern Muse Chic,472,275.0,100,edp,Women,woody,cashmere wood agarwood oud labdanum patchouli ebony tree musk madagascar vanilla and suede,jasmine sambac tuberose and lily,4.05,Faces,3.09,61,woody cashmere wood agarwood oud labdanum patchouli ebony tree musk madagascar vanilla and suede jasmine sambac tuberose and lily,0
638,Dolce & Gabbana,K,338,269.0,100,edt,Men,woody,blood orange pressed sicilian lemon and juniper berries,pimento clary sage geranium and lavandin,4.01,Grass gulf,3.07,98,woody blood orange pressed sicilian lemon and juniper berries pimento clary sage geranium and lavandin,0
646,BURBERRY,My Burberry,700,197.95,90,edp,Women,floral and oriental,damascus and centifolia rose,geranium freesia flowers and golden quince,4.07,Grass gulf,3.07,135,floral and oriental damascus and centifolia rose geranium freesia flowers and golden quince,0
651,CAROLINA HERRERA,212 VIP Rose,445,135.0,80,edp,Women,floral,woody notes white musk amber,peach blossom,5.0,عالم المشاهير,3.08,66,floral woody notes white musk amber peach blossom,0
655,GUCCI,Rush,489,219.85,75,edt,Women,floral,vetiver patchouli and vanilla,jasmine damask rose and coriander,5.0,noon,4.02,98.1K,floral vetiver patchouli and vanilla jasmine damask rose and coriander,0
657,BURBERRY,Touch,314,154.95,100,edp,Women,floral,almondscedaroakmosstonka beansvanilla,jasminelilylily of the valleypeachpeonyraspberrytuberose,4.0,noon100  % original genuine product,4.02,98.1K,floral almondscedaroakmosstonka beansvanilla jasminelilylily of the valleypeachpeonyraspberrytuberose,0
659,J.CASANOVA,Plaisir,145,75.0,100,edp,Women,fresh,sandalwood musk vanilla orchid and cedar,clove damascus plum pear and ylang ylang,4.05,Tiffany,3.08,75,fresh sandalwood musk vanilla orchid and cedar clove damascus plum pear and ylang ylang,0
663,Mont Blanc,Legend,220,141.95,100,edt,Men,spicy,sandalwood tonka and evernyl,dried fruit oakmoss fused with geranium rose and apple,5.0,noon,4.02,98.1K,spicy sandalwood tonka and evernyl dried fruit oakmoss fused with geranium rose and apple,0
667,DORALL COLLECTION,Green Secret,27,9.05,100,edt,Men,fruity,moss sandalwood coumarin,ylang geranium jasmine,2.0,B.A.G,3.07,14.1K,fruity moss sandalwood coumarin ylang geranium jasmine,0
669,Lancome,Miracle,426,200.0,100,edp,Women,arabian,amber musk and jasmine,magnolia ginger mandarin orange pepper and jasmine,4.05,Beuatyone1,4.04,537,arabian amber musk and jasmine magnolia ginger mandarin orange pepper and jasmine,0
676,DORALL COLLECTION,Pink Hearts,29,8.15,100,edt,Women,floral,caramel musk tonka sandalwood and vanilla,red berries lily of the valley licorice cotton candy and strawberry,4.04,B.A.G,3.09,14.1K,floral caramel musk tonka sandalwood and vanilla red berries lily of the valley licorice cotton candy and strawberry,0
689,Genie,8839 Collection,43,24.85,25,edp,Women,floral,liquid amber black violet cream mahogany,lotus blossom champaca flower black orchid,4.02,Parisian Store,3.09,425,floral liquid amber black violet cream mahogany lotus blossom champaca flower black orchid,0
693,Calvin Klein,Beauty,380,118.0,100,edp,Women,floral,virginia cedar,jasmine,4.06,AMLAQ,3.09,135,floral virginia cedar jasmine,0
697,cacharel,Yes I Am ED,15,8.09,2,edt,Women,jasmine,milk sandalwood cardamom,ginger flower jasmine gardenia,1.0,Royal Scent,3.05,5,jasmine milk sandalwood cardamom ginger flower jasmine gardenia,0
700,Dolce & Gabbana,Pour Femme,566,195.0,100,edp,Women,floral,guimave vanilla heliotrope and sandalwood,jasmine and orange blossom,5.0,Parfume-Stor,3.09,66,floral guimave vanilla heliotrope and sandalwood jasmine and orange blossom,0
703,ISSEY MIYAKE,L'eau D'issey Pour Homme,220,155.75,125,edt,Men,floral,coriander,nutmeg,5.0,noon,4.02,98.1K,floral coriander nutmeg,0
706,Yves Saint Laurent,Black Opium,620,364.65,90,edp,Women,vanilla,musk white wood,jasmine tea orrange blossom coffee,4.08,noon,4.02,98.1K,vanilla musk white wood jasmine tea orrange blossom coffee,0
708,Elizabeth Arden,Red Door,128.95,128.95,100,edt,Women,floral,honey sandalwood and vetiver,orchid jasmine lilyofthe valley orange blossomwild violet and freesia,5.0,Golden Perfumesعطر أصلي 100,3.06,111,floral honey sandalwood and vetiver orchid jasmine lilyofthe valley orange blossomwild violet and freesia,0
709,GUESS,Seductive,177,86.75,75,edt,Women,spicy,vanille olibanum and cashmere wood,jasmine african orange flower and orris root,5.0,noon,4.02,98.1K,spicy vanille olibanum and cashmere wood jasmine african orange flower and orris root,0
