no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
558,Mancera,Roses Vanille,485,248.85,120,edp,Women,vanilla,vanilla sugar white musk cedar,rose sugar,5.0,noon,4.02,98.1K,vanilla vanilla sugar white musk cedar rose sugar,1
564,Parfums De Marly,Delina Exclusive,1696,785.0,75,edp,Women,woody,woody amber vanilla,turkish rose incense burning oud,4.0,Golden Perfumesعطر أصلي 100 %,3.06,111,woody woody amber vanilla turkish rose incense burning oud,1
567,NICOLAI,Patchouli Intense,1714,653.65,100,edp,Unisex,floral,sandalwood amber vanilla,ceylon cinnamon rose patchouli,5.0,noon,4.02,98.4K,floral sandalwood amber vanilla ceylon cinnamon rose patchouli,1
570,Aramis,900 Herbal Spray,179,100.0,100,edc,Men,woody,sandalwood amber patchouli civet oakmoss vetiver,carnation orris root jasmine lilyofthevalley rose geranium,4.0,Star.perfume,3.09,537,woody sandalwood amber patchouli civet oakmoss vetiver carnation orris root jasmine lilyofthevalley rose geranium,1
575,Ajmal,Wisal,58,58.0,50,edp,Women,floral,rose sensual musk,sandalwood,5.0,alkhalijiah  perfume,3.05,75,floral rose sensual musk sandalwood,1
581,DORALL COLLECTION,Eternally Hot,29,8.0,100,edt,Women,woody,vanilla musk,gardenia jasmine,4.05,B.A.G,3.07,14.1K,woody vanilla musk gardenia jasmine,1
582,Dunhill,Desire,111,54.95,30,edt,Men,fresh,vanilla musk and labdanum,rose teakwood and patchouli,4.08,Star.perfume,3.09,537,fresh vanilla musk and labdanum rose teakwood and patchouli,1
596,Dunhill,Desire Extreme,230,114.75,100,edt,Men,spicy,amber musk,evergreen cypress,4.09,AMLAQ,3.09,135,spicy amber musk evergreen cypress,1
601,COACH,Floral,337,165.75,90,edp,Women,floral,patchouli woody notes and musk,tea rose jasmine sambac and gardenia,5.0,noon,4.02,98.1K,floral patchouli woody notes and musk tea rose jasmine sambac and gardenia,1
603,DIESEL,Plus Plus Feminine,99,41.0,75,edt,Women,oriental,musk sandalwood virginia cedar amber nutmeg vanille and orris root,jasmine coconut magnolia orchid lily cherry big strawberry red apple and milk,4.04,KAYA,4.03,4K,oriental musk sandalwood virginia cedar amber nutmeg vanille and orris root jasmine coconut magnolia orchid lily cherry big strawberry red apple and milk,1
605,Calvin Klein,Beauty,380,115.0,100,edp,Women,floral,vanilla musk sandalwood guaiac wood and amber,cardamom pepper and flowers,5.0,Star.perfume,3.09,537,floral vanilla musk sandalwood guaiac wood and amber cardamom pepper and flowers,1
609,LANVIN,Oxygene,206,116.0,75,edp,Women,floral,white musk and sandalwood,rose milk gardenia,4.03,Dior Fragrances,3.09,69,floral white musk and sandalwood rose milk gardenia,1
617,Shiseido,Zen,597,260.0,100,edp,Women,floral,patchouli cedarwood skin musk white musk marine amber and incense,freesia gardenia red apple violet lily of the valley hyacinth chinese rose and lotus flower,5.0,Faces,3.09,61,floral patchouli cedarwood skin musk white musk marine amber and incense freesia gardenia red apple violet lily of the valley hyacinth chinese rose and lotus flower,1
639,Mancera,Roses Vanille,390,229.0,120,edp,Women,oriental,sugar vanilla cedar white musk,rose sugar,4.0,noon,4.02,98.1K,oriental sugar vanilla cedar white musk rose sugar,1
642,Mancera,Red,711,365.0,120,edp,Unisex,woody and spicy,tobacco amber guaiac wood sandalwood haitian vetiver madagascar vanilla and white musk,patchouli and jasmine,4.09,top langri,3.07,347,woody and spicy tobacco amber guaiac wood sandalwood haitian vetiver madagascar vanilla and white musk patchouli and jasmine,1
652,CARON,Pour Un Homme De Caron,404,176.0,200,edt,Men,vanilla,musk,vanilla,3.0,Diorworld,3.05,63,vanilla musk vanilla,1
664,Calvin Klein,CK One,448,107.0,200,edt,Men,citrus,sandalwood amber musk cedar and oak moss,nutmeg violet orris root jasmine and lilyofthevalley rose,4.05,AMLAQ,3.09,135,citrus sandalwood amber musk cedar and oak moss nutmeg violet orris root jasmine and lilyofthevalley rose,1
